L(ccSTP/g),P(torr)
0.9489503356,3.04956
1.428496644,4.57462
1.905865772,6.09773
2.143865772,6.86535
2.370469799,7.59766
4.709919463,15.2212
6.845127517,22.5211
9.004872483,30.2016
11.56284564,36.9194
11.07642953,37.856
19.61503356,74.1592
27.15825503,113.395
28.7042953,116.739
33.39355705,153.898
37.61261745,187.331
38.75248322,189.674
41.64348993,225.712
45.7452349,263.603
45.0390604,264.911
47.8861745,303.94
50.28080537,342.71
51.10147651,344.354
52.33932886,381.354
54.74067114,418.958
54.11234899,419.964
55.67892617,458.358
57.52697987,493.8
57.05033557,496.659
58.2885906,534.971
59.72161074,569.6
59.38536913,573.246
60.38657718,611.366
61.51060403,644.76
61.2766443,649.557
62.08563758,687.729
62.90295302,717.76
62.78671141,725.955
63.3661745,751.347
63.47261745,760.171